Barrages_original,Showing_time
因为违法，讨论完毕,0.0
因为人口会大量减少,0.151
"不支持安乐死的是因为还太年轻,要是他一身病,身边没子女,还穷困潦倒的时候他自己就喝百草枯了",0.452
因为是给云天明安排的,0.489
↑这不正在讨论为什么违法吗，，，,0.556
因为云天明还活着,0.659
因为他想让我们上吊死,0.768
喜欢马上给你安排,0.8590000000000001
我支持，我觉得安乐死挺好的。,1.205
因为违法，讨论完毕,1.342
我宁可被枪决，我也不乐意安乐死。,1.357
会有大量人求死,1.44
因为违法，讨论结束,1.768
冲鸭,1.962
当然不行了！,2.384
支持,2.412
死了就没韭菜了,2.721
这么舒服就让你死了 那国家岂不是亏了 老实点 好好回去当社畜 当韭菜 表现好了可能会赏你一次安乐死的机会,3.0810000000000004
生者安乐，死者不一定,3.585
可以放弃治疗啊,3.596
因为生于忧患 死于安乐,4.134
换句话说就是不得好死,4.1789999999999985
因为怕医院没钱赚了，再加上现在的社会压力基尼系数等等影响，谁都怕面对生活了。,4.299
bgm是原创 音乐合辑里有！,4.522
总有人会被安乐死的,4.618
怕担责,4.7010000000000005
想想农村 遗弃老人和老人自杀的事本来就多 安乐死合法岂不是合法剥夺了他们的生存权利,4.922
要有那我早死了,5.205
死个几千万你们很开心么，人命最值钱,5.9689999999999985
bgm是原创！,6.6560000000000015
那中国老龄化一定会加重,6.657
我觉得任何死都很疼。所以不敢死,6.6610000000000005
因为打扰医院赚钱,6.997999999999998
高利贷的人逼你签安乐死协议，你无法证明自己是否自愿因为你已经死了,6.997999999999998
贵。。。。。。。。。,7.096
人不能拥有放弃字由的字由,7.2810000000000015
因为他是死刑犯，他以前伤害很多家庭和人，所有没有资格安乐死,7.3210000000000015
因为安乐死法案是为了云天明通过的～没云天明自然不能安乐死,7.977
安乐死监管不严容易出事儿,8.026
因为被......,8.139
因为腐败，,8.172
不应该是euthanasia么,8.362
估计和中国传统有关,8.398
云天明,8.427
没有君堡差评,8.502
我能,8.693
因为死了没有韭菜可以割了,8.874
有安眠药,9.83
因为打扰医院赚钱,10.158
合法了，就容易“被安乐死”了,10.318
换句话说就是不得好死，太难了,11.099
穷,11.53
哪个男孩不想被安乐死？,11.838
不想花钱,11.914
因为没得选,12.032
我想安乐死,12.437
安乐死很痛苦的,12.595
怕有人干坏事,12.878
我愿意接受,13.048
我愿意,13.148
支持,13.177
要养国家,13.838
云天明,14.088
真的想安乐死,14.296
因为好死不如赖活着,14.339
庄子,14.682
应该就是钱的问题，痛快的死了，谁来赚钱？,15.558
哈哈,15.899
打针喽,16.714000000000002
要养国家,16.984
我不想死,18.179
声音好好听,19.193
越大越难管,19.327
为啥要安乐死？,19.331
因为医院可以赚更多的黑钱哈哈哈,19.838
我没资格死(눈_눈),20.595
如果可以我马上,20.708
反对安乐死,20.78
安乐了韭菜哪里去找,21.091
如果可以 我想安乐死,21.585
你们想过会有子女强制老人安乐死吗,21.661
他声音好听,24.155
能安乐死我已经死了,24.465
安乐死？不仅容易被人利用，而且想起来也不是太乐观吧？,25.045
巨人的陨落第二部里讲到过,25.38
看完视频，发现你这视频就是文不对题，瑞典也支持安乐死,25.747
anlesi,26.239
不想活可以自杀啊，为什么要别人杀了自己嘞。,26.292
我希望有这个选择,26.294
希望国内安乐死早日合法化,26.323
安乐死贵不贵，我想了解一下,27.323
声音好好听！！,27.818
我想 我可以,30.961
娱乐至死,30.976
书声音好听,31.232
文化差异,31.559
我也想,32.561
有的选的话 大概中国会蒸发一半人口以上,32.768
左边：安乐死等于谋杀,34.285
右边：我想带着尊重死去,34.285
我好想。没有痛苦的话,34.496
我中立,34.624
右：拥有尊重,34.679
我希望我安乐死,35.219
我支持，我外公肺癌每天痛苦的睡不着，只能打麻药,36.608
你愿意让你养的猪“安乐死”吗？,36.694
我可以！我可以！！！,37.158
我想安乐死,37.681
我反对,37.97
因为90后才30,38.094
反对安乐死,39.289
声音nice哟,39.677
因为你是劳动力，工蚁死了谁来养蚁后？,40.564
挡了字幕你们就听不懂了吗,41.255
我支持,41.278
我要安乐死！,42.32100000000001
反对,42.675
支持有尊严的死去 安乐死的执行标准是很严格的,42.765
安乐死就没法割韭菜了,42.867
现在计划生育，就怕以后计划安乐死……还是别开先河,43.059
一篇关于安乐死文章摘要,43.493
因为一但同意，中国人口锐减,43.858
但死亡没有幸福，不呼吸只有痛苦,44.145
支持,44.456
学校有辩论，过来记笔记,44.462
反对，万一自己被别人强制安乐死呢,44.721
随便就死了羊毛哪来？,44.945
支持安乐死合法化,45.801
支持安乐死的人等于谋杀,45.99800000000001
腰乐队,46.38399999999999
不支持,46.663
为了让医院赚钱，家庭变穷,47.023
人会在老的时候精神得到升华！,47.292
我国法律规定，公民不得放弃生命权,47.34
就是让你痛苦死 滑稽,47.767
逃出杀戮营地？,47.827
是的，法律不健全人种又聪明容易被安乐死,48.201
反对安乐死,48.539
抑郁症算吗？,48.621
支持,48.787
当然支持 明知道救不好又花钱又痛苦 ,49.205
痛苦死,49.291
为什么呢  我不能有选择安乐死的能力,49.341
啊，我想安乐死啊,49.913
反对，犯罪空间太大了,51.824
还得变成一块橡皮,51.848
万一还能活呢,52.25899999999999
是我了,52.324
支持,52.554
要是免费白给可以，我也想试试,52.583
三体,53.027
反对,54.551
我支持…,55.369
没钱就很痛苦阿，还不能结束我的痛苦？,55.521
三体,55.843
死刑犯,56.65
支持安乐死,56.70399999999999
暴力,57.325
减寿预警哈哈哈哈哈哈,57.795
苟,57.96100000000001
暴力,58.083
前面的吃安眠药死很痛苦的好吗,58.143
非常痛苦,58.38399999999999
什么时候能安乐死？,58.738
如果放开安乐死，医院怎么赚钱。死之前把你家底掏空来看病。,58.865
因为医院要熬骨油,59.176
因为“生于忧患死于安乐”啊,59.397
暴力,59.648
嗯,60.007
苟,60.053
愿实行安乐死,60.1
这个模型……,60.256
如果快乐，谁愿意死亡,60.345
我支持安乐死,60.506
抗锯齿,60.707
想死与否不需要你来定义,60.92100000000001
暴力！,61.00100000000001
安乐死合法之后 贫困家庭的患者会面临家人的压力去选择安乐死,61.24
这个眼镜？……,61.297
暴力,61.354
弹幕禁止养狗,61.505
没有痛苦的离去，不好吗。,61.517
反对,62.164
暴力,62.932
重度抑郁症算痛苦吗？,63.083
找个刺客,64.332
暴力,64.34
脑死亡的患者怎么表达自己意愿呢……,64.852
嗯,66.14699999999999
消极安乐死：放弃治疗,66.348
云天明草,68.86399999999999
医院都是消极,72.533
呼入。。。,72.82300000000002
云天明,74.681
?,75.117
河南,75.161
呵呵你连剖腹产顺产都做不主,77.714
瑞士呢？？？,78.801
河南,78.858
人多情绪会传染，造成不可控,82.04899999999998
中国台湾也支持,83.641
瑞士已经可以积极安乐死了。,84.008
duang,84.991
用巴雷特打针吧,85.196
好吧，以后死在荷兰和比利时,86.32
荷兰真是各种世界第一,87.999
还没十个，不用聊了,88.141
貌似瑞士也支持积极安乐死了,88.2
尼德兰了诶嘿,89.307
荷兰也是世界上第一个同性婚姻合法的国家,89.76700000000002
瑞典瑞士都没有列入可见up资料很不严谨,89.77
逃避病痛=死得尊严?,90.021
自残啊,90.539
？医生忙死忙活每个月工资也就那么点，破站怎么来了这么多不明是非的人了？,91.904
锡兰,92.741
瑞士可以安乐死吧，有一个去就是喝药死的,92.759
每个人都有选择死亡的权利。,92.873
德黑兰,93.038
胡辣汤,94.158
做不积极治疗等同消极安乐死,94.341
支持安乐死,94.618
活着或许痛苦，但是有无限的可能，死了就什么可能都没了,95.35
带  孝  子  ,96.125
毕竟少,96.591
我国台湾支持安乐死吧。。,97.448
带孝子,97.558
带孝子,99.081
请屏蔽关键词：带孝子,99.405
我在比利时,99.628
带孝子,99.849
带孝子,100.394
我国也有类似案例，判定有罪，但不进行惩罚,101.552
